time,x,y
0.033333,1004,699
0.066667,1018,733
0.100000,1030,739
0.133333,1039,723
0.166667,1048,691
0.200000,1057,639
0.233333,1062,579
0.266667,1067,515
0.300000,1066,458
0.333333,1065,417
0.366667,1063,397
0.400000,1056,400
0.433333,1050,426
0.466667,1042,473
0.500000,1034,522
0.533333,1025,591
0.566667,1015,652
0.600000,1008,701
0.633333,1002,731
0.666667,997,740
0.700000,995,724
0.733333,995,688
0.766667,997,638
0.800000,1002,578
0.833333,1008,516
0.866667,1016,460
0.900000,1025,419
0.933333,1035,398
0.966667,1043,399
1.000000,1054,428
1.033333,1061,473
1.066667,1066,523
1.100000,1070,594
1.133333,1071,646
1.166667,1068,701
1.200000,1063,729
1.233333,1054,739
1.266667,1044,727
1.300000,1032,688
1.333333,1022,643
1.366667,1009,575
1.400000,1001,522
1.433333,992,461
1.466667,987,421
1.500000,986,401
1.533333,987,404
1.566667,990,430
1.600000,997,475
1.633333,1006,533
1.666667,1017,595
1.700000,1029,653
1.733333,1041,701
1.766667,1052,731
1.800000,1061,739
1.833333,1068,724
1.866667,1072,687
1.900000,1073,642
1.933333,1071,574
1.966667,1067,519
2.000000,1060,458
2.033333,1053,423
2.066667,1043,399
2.100000,1034,401
2.133333,1024,430
2.166667,1016,469
2.200000,1008,534
2.233333,1003,597
2.266667,1000,654
2.300000,1000,700
2.333333,1001,730
2.366667,1005,736
2.400000,1011,721
2.433333,1018,686
2.466667,1027,633
2.500000,1035,572
2.533333,1044,512
2.566667,1052,457
2.600000,1059,418
2.633333,1065,399
2.666667,1068,401
2.700000,1070,428
2.733333,1070,468
2.766667,1067,534
2.800000,1061,598
2.833333,1054,655
2.866667,1045,702
2.900000,1034,730
2.933333,1023,737
2.966667,1012,721
3.000000,1002,686
3.033333,994,633
3.066667,989,573
3.100000,985,512
3.133333,985,459
3.166667,987,421
3.200000,993,403
3.233333,1000,407
3.266667,1008,429
3.300000,1020,480
3.333333,1031,535
3.366667,1042,596
3.400000,1051,656
3.433333,1057,698
3.466667,1063,728
3.500000,1066,736
3.533333,1064,724
3.566667,1060,690
3.600000,1052,639
3.633333,1044,586
3.666667,1032,518
3.700000,1022,470
3.733333,1010,423
3.766667,1002,402
3.800000,993,405
3.833333,986,431
3.866667,984,467
3.900000,983,518
3.933333,986,587
3.966667,988,650
4.000000,998,696
4.033333,1006,726
4.066667,1015,736
4.100000,1027,721
4.133333,1036,687
4.166667,1046,637
4.200000,1052,579
4.233333,1059,516
4.266667,1061,461
4.300000,1061,423
4.333333,1061,402
4.366667,1057,405
4.400000,1052,430
4.433333,1046,473
4.466667,1038,523
4.500000,1029,592
4.533333,1021,644
4.566667,1010,698
4.600000,1003,728
4.633333,995,735
4.666667,990,720
4.700000,987,686
4.733333,987,650
4.766667,987,614
4.800000,988,585
4.833333,990,556
4.866667,992,525
4.900000,995,495
4.933333,998,474
4.966667,1001,458
5.000000,1003,445
5.033333,1004,436
5.066667,1007,422
5.100000,1010,417
5.133333,1012,409
5.166667,1013,408
5.200000,1014,407
5.233333,1015,405
5.266667,1016,403
5.300000,1017,402
5.333333,1018,403
5.366667,1020,403
5.400000,1021,402
5.433333,1021,402
5.466667,1024,404
5.500000,1025,406
5.533333,1026,408
5.566667,1027,409
5.600000,1029,411
5.633333,1030,414
5.666667,1031,417
5.700000,1032,421
5.733333,1033,424
5.766667,1034,428
5.800000,1035,432
5.833333,1035,432
5.866667,1038,441
5.900000,1039,446
5.933333,1039,446
5.966667,1041,457
6.000000,1043,463
6.033333,1044,469
6.066667,1044,475
6.100000,1045,482
6.133333,1046,490
6.166667,1047,496
6.200000,1048,503
6.233333,1049,510
6.266667,1050,517
6.300000,1051,525
6.333333,1051,525
6.366667,1053,540
6.400000,1053,540
6.433333,1054,555
6.466667,1055,562
6.500000,1056,570
6.533333,1057,578
6.566667,1057,586
6.600000,1057,593
6.633333,1058,601
6.666667,1058,608
6.700000,1058,616
6.733333,1059,624
6.766667,1059,630
6.800000,1060,637
6.833333,1060,644
6.866667,1060,644
6.900000,1061,659
6.933333,1061,659
6.966667,1060,671
7.000000,1060,677
7.033333,1060,683
7.066667,1061,689
7.100000,1060,694
7.133333,1060,700
7.166667,1060,704
7.200000,1060,709
7.233333,1060,713
7.266667,1059,717
7.300000,1059,720
7.333333,1058,723
7.366667,1058,726
7.400000,1058,726
7.433333,1056,731
7.466667,1056,733
7.500000,1055,734
7.533333,1054,735
7.566667,1053,736
7.600000,1052,736
7.633333,1051,736
7.666667,1050,736
7.700000,1049,735
7.733333,1048,734
7.766667,1047,732
7.800000,1046,731
7.833333,1045,729
7.866667,1044,727
7.900000,1042,723
7.933333,1042,723
7.966667,1040,718
8.000000,1039,713
8.033333,1037,708
8.066667,1036,706
8.100000,1034,701
8.133333,1033,697
8.166667,1031,691
8.200000,1030,685
8.233333,1029,679
8.266667,1027,674
8.300000,1026,668
8.333333,1024,661
8.366667,1022,655
8.400000,1022,655
8.433333,1020,642
8.466667,1018,634
8.500000,1017,627
8.533333,1015,621
8.566667,1013,614
8.600000,1012,605
8.633333,1011,598
8.666667,1009,592
8.700000,1008,584
8.733333,1006,576
8.766667,1005,569
8.800000,1004,561
8.833333,1003,553
8.866667,1003,553
8.900000,1000,538
8.933333,998,533
8.966667,998,533
9.000000,996,515
9.033333,995,507
9.066667,993,501
9.100000,992,496
9.133333,991,489
9.166667,990,480
9.200000,989,474
9.233333,988,469
9.266667,986,462
9.300000,985,456
9.333333,984,451
9.366667,984,446
9.400000,983,441
9.433333,983,441
9.466667,981,430
9.500000,980,427
9.533333,979,425
9.566667,979,421
9.600000,979,416
9.633333,978,412
9.666667,978,411
9.700000,977,410
9.733333,976,408
9.766667,976,406
9.800000,976,404
9.833333,975,404
9.866667,975,404
9.900000,975,404
9.933333,975,404
9.966667,975,405
10.000000,975,405
10.033333,975,407
10.066667,975,408
10.100000,974,410
10.133333,974,414
10.166667,974,416
10.200000,975,419
10.233333,975,421
10.266667,975,425
10.300000,975,430
10.333333,976,435
10.366667,976,439
10.400000,977,443
10.433333,978,449
10.466667,978,449
10.500000,978,460
10.533333,978,460
10.566667,979,473
10.600000,980,479
10.633333,981,485
10.666667,982,491
10.700000,983,498
10.733333,984,506
10.766667,985,513
10.800000,986,520
10.833333,986,526
10.866667,987,533
10.900000,989,542
10.933333,989,549
10.966667,990,556
11.000000,990,556
11.033333,993,571
11.066667,994,579
11.100000,995,586
11.133333,997,594
11.166667,998,601
11.200000,999,609
11.233333,1001,616
11.266667,1002,623
11.300000,1004,630
11.333333,1005,638
11.366667,1006,645
11.400000,1008,651
11.433333,1008,651
11.466667,1011,664
11.500000,1012,670
11.533333,1012,670
11.566667,1015,682
11.600000,1017,688
11.633333,1018,692
11.666667,1020,698
11.700000,1021,702
11.733333,1023,707
11.766667,1024,711
11.800000,1026,715
11.833333,1027,718
11.866667,1029,721
11.900000,1030,723
11.933333,1030,723
11.966667,1032,729
12.000000,1034,731
12.033333,1034,731
12.066667,1037,733
12.100000,1039,733
12.133333,1040,733
12.166667,1041,735
12.200000,1042,735
12.233333,1043,733
12.266667,1044,732
12.300000,1045,731
12.333333,1046,730
12.366667,1048,727
12.400000,1049,724
12.433333,1050,722
12.466667,1050,720
12.500000,1051,720
12.533333,1052,711
12.566667,1053,708
12.600000,1053,708
12.633333,1055,699
12.666667,1056,693
12.700000,1056,688
12.733333,1056,683
12.766667,1057,678
12.800000,1057,673
12.833333,1058,667
12.866667,1059,660
12.900000,1060,653
12.933333,1060,646
12.966667,1060,640
13.000000,1060,640
13.033333,1060,626
13.066667,1060,619
13.100000,1060,619
13.133333,1060,604
13.166667,1061,597
13.200000,1060,589
13.233333,1060,583
13.266667,1060,575
13.300000,1060,567
13.333333,1060,559
13.366667,1060,552
13.400000,1059,545
13.433333,1059,537
13.466667,1059,529
